Name,PTS,REB,AST,STL,BLK,FG%,MVP Voting Point Share,Win/Loss Difference,Position,Year,ZSum,REBAST
Stephen Curry,30.1,5.4,6.7,2.1,0.2,50.4,1,64,1,2016,2.88187071,12.1
LeBron James,26.8,8,7.3,1.7,0.9,56.5,0.998,50,1,2013,5.96636737,15.3
Kevin Durant,32,7.4,5.5,1.3,0.7,50.3,0.986,36,1,2014,3.235681133,12.9
Nikola Jokic,26.4,10.8,8.3,1.3,0.7,56.6,0.971,22,1,2021,3.321539944,19.1
James Harden,30.4,5.4,8.8,1.8,0.7,44.9,0.955,48,1,2018,3.801903121,14.2
Giannis Antetokounmpo,29.5,13.6,5.6,1,1,55.3,0.952,39,1,2020,4.981514387,19.2
Giannis Antetokounmpo,27.7,12.5,5.9,1.3,1.5,57.8,0.932,38,1,2019,6.039129241,18.4
Stephen Curry,23.8,4.3,7.7,2,0.2,48.7,0.922,52,1,2015,1.92673082,12
LeBron James,27.1,7.9,6.2,1.9,0.8,53.1,0.888,26,1,2012,3.530064355,14.1
Russell Westbrook,31.6,10.7,10.4,1.6,0.4,42.5,0.879,12,1,2017,1.760093343,21.1
James Harden,36.1,6.6,7.5,2,0.7,44.2,0.768,24,2,2019,2.026233852,14.1
James Harden,29.1,8.1,11.2,1.5,0.5,44,0.746,28,2,2017,1.198815498,19.3
LeBron James,25.3,7.8,10.2,1.2,0.5,49.3,0.746,33,2,2020,1.616272161,18
Kevin Durant,28,8,3.5,1.3,1.2,49.6,0.735,28,2,2012,1.950876272,11.5
Lebron James,27.5,8.6,9.1,1.4,0.9,54.2,0.731,18,2,2018,3.211706163,17.7
James Harden,27.4,5.7,7,1.9,0.7,44,0.72,30,2,2015,0.4538681929,12.7
LeBron James,27.1,6.9,6.3,1.6,0.3,56.7,0.713,26,2,2014,2.601486155,13.2
Kevin Durant,28.1,7.9,4.6,1.4,1.3,51,0.632,38,2,2013,2.864093675,12.5
Joel Embiid,28.5,10.6,2.8,1,1.4,51.3,0.586,26,2,2021,1.168886775,13.4
Kawhi Leonard,25.5,5.8,3.5,1.8,0.7,48.5,0.495,40,3,2017,-0.5262321938,9.3
Kawhi Leonard,21.2,6.8,2.6,1.8,1,50.6,0.484,52,2,2016,0.7034451462,9.4
LeBron James,25.3,7.4,6.8,1.4,0.6,52,0.482,32,3,2016,1.361501952,14.2
